
0,-3.1131808564388366
1,-11.011110178307238
2,-12.786154024367717
3,-20.49291906339212
4,-14.76415296862288
5,-7.295610614761203
6,-14.968751417928678
7,-6.448969148721393
8,-7.233964897234652
9,-7.9037870258642915
10,-10.518731007740463
11,-10.070524079601906
12,-12.046985788554188
13,-20.198156861831386
14,-2.1745662631522147
15,-1.7643605730009335
16,-15.30423095186973
17,-5.2786696679472564
18,-3.0690374002491945
19,-5.367645946289989
20,-20.050475586699
21,-11.68815080941966
22,-8.257789879577203
23,-13.24205494327821
24,-12.647258864770428
25,-3.655708617722961
